# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
You should login first...,Πρέπει να συνδεθείτε πρώτα...
You don't have rights to access this section.,Δεν έχετε δικαιώματα πρόσβασης σε αυτήν την ενότητα.
 - Choose - , - Επιλέξτε - 
Delete,Διαγραφή
N/A,Μ/Α
Invalid,Μη έγκυρο
Actions,Ενέργειες
Unknown action.,Άγνωστη ενέργεια.
Couldn't get parent plugin object.,Αδυναμία λήψης του αντικειμένου γονικού προσθέτου.
System,Σύστημα
Compose Message,Σύνθεση Μηνύματος
Message queued... Server will send it as soon as possible.,Μήνυμα στην ουρά... Ο διακομιστής θα το στείλει το συντομότερο δυνατό.
Unknown message or you don't have rights to reply to this message.,Άγνωστο μήνυμα ή δεν έχετε δικαιώματα για να απαντήσετε σε αυτό το μήνυμα.
Unknown message or you don't have rights to follow up this message.,Άγνωστο μήνυμα ή δεν έχετε δικαιώματα να ακολουθήσετε αυτό το μήνυμα.
You cannot reply to this message. Author not reachable.,Δεν μπορείτε να απαντήσετε σε αυτό το μήνυμα. Ο συγγραφέας δεν είναι προσβάσιμος.
Re: ,Αναφορά: 
You cannot follow up this message.,Δεν μπορείτε να ακολουθήσετε αυτό το μήνυμα.
Message details saved in database.,Λεπτομέρειες μηνύματος αποθηκεύτηκαν στη βάση δεδομένων.
Error sending message. Please try again.,Σφάλμα κατά την αποστολή του μηνύματος. Παρακαλώ προσπαθήστε ξανά.
View Message,Προβολή Μηνύματος
Couldn't load messages plugin.,Αδυναμία φόρτωσης προσθέτου μηνυμάτων.
Couldn't load message details.,Αδυναμία φόρτωσης λεπτομερειών μηνύματος.
Couldn't load thread of message.,Αδυναμία φόρτωσης νήματος μηνύματος.
Message doesn't require additional work.,Το μήνυμα δεν απαιτεί επιπλέον εργασία.
Error finishing additional work required for message #%s.,Σφάλμα ολοκλήρωσης επιπλέον εργασιών που απαιτούνται για το μήνυμα #%s.
No more messages...,Δεν υπάρχουν περισσότερα μηνύματα...
Error rendering messages. Please retry.,Σφάλμα κατά την απεικόνιση των μηνυμάτων. Παρακαλώ προσπαθήστε ξανά.
Inbox,Εισερχόμενα
Couldn't load required functionality.,Αδυναμία φόρτωσης απαιτούμενης λειτουργικότητας.
message,μήνυμα
messages,μηνύματα
Message details not found in database.,Λεπτομέρειες μηνύματος δεν βρέθηκαν στη βάση δεδομένων.
Message thread details not found in database.,Λεπτομέρειες νήματος μηνυμάτων δεν βρέθηκαν στη βάση δεδομένων.
Mark as read,Σημείωση ως διαβασμένο
From,Από
Author messaging handle contains this value,Το χειριστήριο μηνυμάτων του συγγραφέα περιέχει αυτήν την τιμή
To,Για
Destination messagin handle contains this value,Το χειριστήριο μηνυμάτων προορισμού περιέχει αυτήν την τιμή
Subject,Θέμα
Subject contains this value,Το θέμα περιέχει αυτήν την τιμή
Last reply,Τελευταία απάντηση
Required messages deleted with success.,Τα απαιτούμενα μηνύματα διαγράφηκαν με επιτυχία.
Deleting selected messages failed. Please try again.,Η διαγραφή των επιλεγμένων μηνυμάτων απέτυχε. Παρακαλώ προσπαθήστε ξανά.
Failed deleting all selected messages. Messages which failed deletion are still selected. Please try again.,Απέτυχε η διαγραφή όλων των επιλεγμένων μηνυμάτων. Τα μηνύματα που απέτυχαν τη διαγραφή παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
Required messages marked as read with success.,Τα απαιτούμενα μηνύματα σημειώθηκαν ως διαβασμένα με επιτυχία.
Marking selected messages as read failed. Please try again.,Αποτυχία επισήμανσης επιλεγμένων μηνυμάτων ως διαβασμένα. Παρακαλώ προσπαθήστε ξανά.
Failed marking as read all selected messages. Failed messages are still selected. Please try again.,Αποτυχία επισήμανσης όλων των επιλεγμένων μηνυμάτων ως διαβασμένα. Τα αποτυχημένα μηνύματα παραμένουν επιλεγμένα. Παρακαλώ προσπαθήστε ξανά.
Message deleted with success.,Το μήνυμα διαγράφηκε με επιτυχία.
Deleting message failed. Please try again.,Αποτυχία διαγραφής μηνύματος. Παρακαλώ προσπαθήστε ξανά.
Cannot delete address. Address not found in database.,Αδυναμία διαγραφής διεύθυνσης. Διεύθυνση δεν βρέθηκε στη βάση δεδομένων.
You (%s),Εσείς (%s)
Unknown destination,Άγνωστος προορισμός
Unknown user level,Άγνωστο επίπεδο χρήστη
Unknown role,Άγνωστος ρόλος
