# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Σφάλμα φόρτωσης απαιτούμενων πόρων.
Undefined,Απροσδιόριστο
Account not found in database.,Ο λογαριασμός δεν βρέθηκε στη βάση δεδομένων.
You don't have enough rights to access this section.,Δεν έχετε αρκετά δικαιώματα για πρόσβαση σε αυτήν την ενότητα.
Account details not found in database.,Λεπτομέρειες λογαριασμού δεν βρέθηκαν στη βάση δεδομένων.
Error loading accounts model.,Σφάλμα φόρτωσης μοντέλου λογαριασμών.
Please provide data and/or notification in payload.,Παρακαλώ παρέχετε δεδομένα και/ή ειδοποίηση στο φορτίο.
Please provide a device token or an array of tokens.,Παρακαλώ παρέχετε ένα διακριτικό συσκευής ή έναν πίνακα διακριτικών.
You can provide up to %s tokens for a notification.,Μπορείτε να παρέχετε μέχρι και %s τοκεν για μια ειδοποίηση.
Please provide a device token or an array of device tokens.,Παρακαλώ παρέχετε ένα διακριτικό συσκευής ή έναν πίνακα διακριτικών συσκευών.
Error sending notification using Firebase.,Σφάλμα κατά την αποστολή ειδοποίησης χρησιμοποιώντας το Firebase.
Couldn't obtain Firebase API settings from plugin.,Δεν ήταν δυνατή η λήψη των ρυθμίσεων του Firebase API από το πρόσθετο.
Invalid Firebase plugin settings.,Μη έγκυρες ρυθμίσεις προσθέτου Firebase.
Error loading MobileAPI plugin.,Σφάλμα φόρτωσης προσθέτου MobileAPI.
Please provide Firebase API parameters.,Παρακαλώ παρέχετε τις παραμέτρους του API του Firebase.
Couldn't obtain JSON from payload.,Αδυναμία λήψης JSON από το φορτίο.
Error sending request to Firebase server.,Σφάλμα κατά την αποστολή αιτήματος προς τον διακομιστή Firebase.
Firebase server responded with an error.,Ο διακομιστής Firebase απάντησε με ένα σφάλμα.
No session.,Χωρίς συνεδρία.
Error deleting session from server.,Σφάλμα κατά τη διαγραφή της συνεδρίας από τον εξυπηρετητή.
Please provide device details.,Παρακαλώ παράσχετε λεπτομέρειες συσκευής.
Error generating session.,Σφάλμα κατά τη δημιουργία της συνεδρίας.
Not authenticated.,Μη εξουσιοδοτημένο.
Please provide account details you want to change.,Παρακαλώ δώστε τα στοιχεία λογαριασμού που θέλετε να αλλάξετε.
Error saving account details.,Σφάλμα κατά την αποθήκευση των λεπτομερειών λογαριασμού.
Please provide credentials.,Παρακαλώ παράσχετε διαπιστευτήρια.
Authentication failed.,Αποτυχία πιστοποίησης.
Account locked temporarily because of too many login attempts.,Ο λογαριασμός έχει κλειδωθεί προσωρινά λόγω υπερβολικών προσπαθειών σύνδεσης.
Bad user or password.,Λανθασμένος χρήστης ή κωδικός πρόσβασης.
Error updating session.,Σφάλμα κατά την ενημέρωση της συνεδρίας.
Registration is closed for this site.,Η εγγραφή έχει κλείσει για αυτόν τον ιστότοπο.
Please provide required fields.,Παρακαλώ παρέχετε τα απαιτούμενα πεδία.
Couldn't register user. Please try again.,Αδυναμία εγγραφής χρήστη. Παρακαλώ προσπαθήστε ξανά.
Device not found in database.,Συσκευή δεν βρέθηκε στη βάση δεδομένων.
Error updating device.,Σφάλμα κατά την ενημέρωση της συσκευής.
Error checking API sessions.,Έλεγχος σφαλμάτων συνεδριών API.
