# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Error loading required resources.,Eroare la încărcarea resurselor necesare.
Active,Activ
You should login first...,Trebuie mai întâi să vă logaţi...
Title,Titlu
N/A,N/A
Error saving details to database. Please try again.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
Company,Companie
Operator,Operator
Account not found in database.,Contul nu a fost găsit în baza de date.
Cancel,Anulare
Error obtaining products import export directory path.,Eroare la obţinerea căii către directorul de import export pentru produse.
Invalid flow parameters.,Parametrii fluxului sunt nevalizi.
Inactive,Inactiv
Deleted,Şters
Nothing to export.,Nimic de exportat.
Account locked temporarily because of too many login attempts.,Cont blocat temporar din cauza prea multor încercări de conectare.
Bad user or password.,User sau parolă greșită.
Error updating session.,Eroare la updatarea sesiunii.
Registration is closed for this site.,Înregistrarea de conturi noi este închisă pentru acest site.
Couldn't register user. Please try again.,Eroare la înregistrarea contului. Incercati din nou.
Wrong current password.,Parola curentă este greşită.
Invalid account.,Cont invalid.
Error sending forgot password email. Please try again.,Eroare la trimiterea emailului pentru parola uitată. Încercaţi din nou.
Email,Email
Username,Username
Password,Parola
Please provide a valid status.,Furnizaţi un status valid.
Login,Logare
Suspended,Suspendat
Account Registration Settings,Setări Înregistrare Cont
Settings related to account registration.,Setări legate de înregistrarea unui cont.
Email mandatory at registration,Email obligatoriu la înregistrare
Should users provide emails when registering?,Ar trebui utilizatorii să furnizeze adrese de email la înregistrare?
Replace nick with email,Înlocuieşte nick cu email
"If, by any reasons, nickname is not provided when creating an account should it be replaced with provided email?","Dacă, din orice cauză, numele de utilizator (nickname/username) nu este precizat când se creează contul, ar trebui înlocuit cu adresa de email?"
"Use only email, no nickname","Foloseşte doar email, fără nickname"
Hide nickname complately and use only email as nickname.,Ascunde complet pseudonimul și folosește doar adresa de email ca pseudonim.
Account requires activation,Contul necesită activare
"Should an account be activated before login after registration? When admin creates accounts, these will be automatically active.","Ar trebui ca un cont să fie activat înainte de autentificare după înregistrare? Atunci când administratorul creează conturi, acestea vor fi activate automat."
Generate password if not present,Generează o parolă daca nu e dată
"If, by any reasons, password is not present when creating an account autogenerate a password or return error?","Dacă, din orice motive, parola lipsește atunci când se creează un cont, se autogenerează o parolă sau se returnează o eroare?"
Emails should be unique,Emailul trebuie să fie unic
Should account creation fail if same email already exists in database?,Ar trebui să eșueze crearea contului dacă aceeași adresă de email există deja în baza de date?
Account Password Settings,Setări Parolă Cont
Settings related to account password rules.,Setări legate de regulile parolei contului.
Password decryption enabled,Decriptarea parolei activă
"If NOT ticked, system will not use internal encryption/decryption for passwords, so passwords cannot be decrypted anymore.","Dacă NU e bifat, sistemul nu va folosi criptarea/decriptarea internă pentru parole, deci parolele nu vor mai putea fi decriptate."
Accounts will have to setup a password at first login.,Conturile vor trebui să își configureze o parolă la prima autentificare.
Password policy (if not provided),Politica de parolă (dacă nu este furnizată)
"When password is not provided at registration, we can generate one or ask user to setup a password at first login. If <em>Password decryption enabled</em> is NOT ticked, user will be asked to setup a password anyway.","Când parola nu este furnizată la înregistrare, putem genera una sau putem cere utilizatorului să configureze o parolă la prima autentificare. Dacă opțiunea <em>Decodificare parolă activată</em> NU este bifată, utilizatorul va fi oricum rugat să configureze o parolă."
Minimum password length,Lungimea minimă a parolei
Password reg-exp,Expresie regulată pentru parolă
"If provided, all passwords have to pass this regular expression. Previous created accounts will not be affected by this. Please use / as preg_match delimiter.","Dacă este furnizat, toate parolele trebuie să treacă de această expresie regulată. Conturile create anterior nu vor fi afectate de aceasta. Vă rugăm să folosiți / ca delimitator preg_match."
Password explanation,Explicație a parolei
"Explain password rules (if required) in a friendly text (eg. Password should contain lower and upper chars, with at least one digit, etc) This will pass translation as string to be available in other languages.","Explicați regulile pentru parole (dacă este necesar) într-un text prietenos (de exemplu, Parola ar trebui să conțină caractere mici și mari, cu cel puțin o cifră, etc) Acest lucru va trece traducerea ca șir pentru a fi disponibil în alte limbi."
Password salt length,Lungimea sarii parolei
Each account uses it's own password salt. (Google salt for more details),Fiecare cont folosește propria sa saramură de parolă. (Caută „saramură” pe Google pentru mai multe detalii)
Expire passwords days,Expirați zilele parolelor
