# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Please wait...,Aşteptaţi...
Message,Mesaj
Changing language... Please wait.,Schimbăm limba... Aşteptaţi.
Error changing language. Please retry.,Eroare la schimbarea limbii. Încercaţi din nou.
Error ontaining dialogue body. Please try again.,Eroare la obținerea conținutului dialogului. Încercați din nou.
Clear filter,Curăţă filtrele
Show filters,Arată filtre
No %s found with specified filters.,Nu există %s in baza de date cu filtrele precizate.
No %s found in database.,Nu există %s in baza de date.
Next page,Pagina următoare
Are you sure you want to run action %s?,Sunteţi sigur că doriţi rularea acţiunii %s?
Are you sure you want to run action %s on %s selected records?,Sunteţi sigur că doriţi să rulaţi acțiunea %s pentru %s înregistrări?
Couldn't load accounts model. Please contact support.,Nu am putut încărca modelul accounts. Vă rugăm să contactați asistența.
Choose language,Alege limba
Site Index,Index
Login,Logare
Logout,Ieşire
No filters set.,Nu este setat nici un filtru.
 - Bulk Actions - , - Acţiuni - 
%s per page,%s pe pagină
Action not defined.,Acțiunea nu este definită.
Loading...,Se încarcă...
Admin Menu,Meniu Admin
Contact Us,Contactaţi-ne
Send Message,Trimite Mesaj
"Displaying %s / %s %s, page %s / %s, %s per page.","Afişare %s/%s %s, pagina %s/%s, %s pe pagină."
Select language,Selectare limbă
Username,Username
Email,Email
Validation code,Cod de validare
Password,Parola
Remember Me,Tine-mă minte
Register,Înregistrare
Filter,Filtrează
Loading,Încărcare
True,Adevărat
False,Fals
Hide Filters,Ascunde Filtre
Current filters,Filtre curente
Please choose an action first.,Alegeți o acţiune mai întâi.
Apply,Aplică
Previous page,Pagina anterioară
Terms and Conditions,Termeni şi condiţii
All rights reserved.,Toate drepturile rezervate.
Home,Acasă
Change language,Schimbă limba
Page not found,Nu am găsit pagina
Unknown value.,Valoare necunoscută.
Render after filters call failed.,Randarea după apel de filtre a eşuat.
Change Password,Schimbă parola
Edit Profile,Editare Profil
Forgot Password,Parola Uitată
Keep filters opened,Ţine filtrele deschise
Hello %s,Bună %s
Error,Eroare
Subject,Subiect
Failed rendering cell,Eroare la randarea celulei
Error obtaining dialogue body. Please try again.,Eroare la obținerea conținutului dialogului. Încercați din nou.
TFA Settings,Setări FTP
Status,Status
N/A,N/A
Format,Format
NOTE: You cannot undo this action!,NOTĂ: Nu puteți anula această acțiune!
Cancel,Anulare
Started,Început
ALL,TOT
Couldn't obtain jQuery object for autocomplete field.,Nu s-a putut obține obiectul jQuery pentru câmpul de autocompletare.
URL not provided for autocomplete field.,URL-ul nu a fost furnizat pentru câmpul de autocompletare.
Error initializing PHS JS Engine,Eroare la inițializarea motorului PHS JS
Rendered from outside of paginator.,Randat din afara paginatorului.
Render before filters call failed.,Apelul de randare înainte de filtre a eșuat.
Invalid action icon.,Icon de acțiune invalid.
Reset export,Resetare export
Download,Download
Are you sure you want to reset export details?,Sigur doriți să resetați detaliile de export?
Resetting export...,Se resetează exportul...
Cancel request will be sent to the background script which might take some time. Export will be cancelled as soon as possible.,"Cererea de anulare va fi trimisă scriptului de background, ceea ce ar putea dura ceva timp. Exportul va fi anulat cât mai curând posibil."
Are you sure you want to CANCEL the export?,Sigur doriți să ANULAȚI exportul?
Cancelling export...,Se anulează exportul...
Error updating export status. You can refresh the page for status update.,Eroare la actualizarea stării exportului. Puteți reîncarca pagina pentru actualizarea stării.
Render before table call failed.,Apelul de randare înainte de tabel a eșuat.
Render after headers call failed.,Apelul de randare după headere a eșuat.
Render before footer call failed.,Renderea înainte de apelul la subsol a eșuat.
Render after table call failed.,Renderea după apelul tabelei a eșuat.
Render after full list call failed.,Renderea după eșuarea apelului complet al listei.
Exporting %s records...,Export %s înregistrari...
Export format,Format export
Column delimiter,Delimitare coloană
Run export action in background script.,Execută acțiunea de exportare în scriptul de background.
Start export,Start export
Sending request to server. Please wait...,Se trimite solicitarea către server. Vă rugăm să așteptați...
Please select recods you want to export first.,Vă rugăm să selectați mai întâi înregistrările pe care doriți să le exportați.
Export options,Opțiuni export
