# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
MySQLi,MySQLi
No city defined for this continent.,Nici un oraș definit pentru continentul acesta.
Are you sure you want to generate new Crypto Internal Keys Array?,Sunteţi sigur că doriţi generarea unui nou array de chei de criptare internă?
Invalid action.,Acțiune invalidă.
Couldn't load captcha plugin.,Nu am putut încărca pluginul captcha.
Unknown account.,Cont necunoscut.
Couldn't load agent jobs model.,Nu am putut încărca modelul de agent jobs.
N/A,N/A
No,Nu
Couldn't load plugins model.,Nu am putut încărca meniul de editare produs.
Error rendering template [%s].,Nu am putut randa template-ul [%s].
Models,Modele
Couldn't change current language. Please try again.,Eroare la schimbarea limbii curente. Încercați din nou.
You don't have rights to use contact us form.,Nu aveţi drepturi de a folosi formularul de contact.
Failed sending email. Please try again.,Eroare la trimiterea emailului. Încercaţi din nou.
Error loading autocomplete contract.,Eroare la incărcarea contractului de auto-completare.
Agent job details not found in database.,Detaliile jobului de agent nu s-au găsit în baza de date.
Job not found in database.,Jobul nu a fost găsit în baza de date.
Handler already defined in database.,Detaliile companiei salvate in baza de date.
API key details not found in database.,Detaliile cheii API nu au fost găsite în baza de date.
Error saving settings in database.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
Error saving registry data in database.,Eroare la salvarea detaliilor producătorului în baza de date. Încercaţi din nou.
Error preparing query to obtain plugins records.,Eroare la pregătirea datelor companiei ca răspuns.
Couldn't save plugin details to database.,Detaliile companiei nu s-au găsit în baza de date.
Error deleting registry database entry for instance %s.,Eroare la ștergerea intrării de registru din baza de date pentru instanța %s.
Role not found in database.,Rolul nu a fost găsit în baza de date.
Couldn't obtain route.,Nu am putut obţine ruta.
Couldn't parse route.,Nu am putut analiza ruta.
Couldn't obtain route details.,Nu am putut obţine detaliile de rută.
Error serving request.,Eroare la servirea cererii.
Couldn't load plugin %s.,Nu am putut încărca pluginul %s.
Couldn't save agent job details in database. Please try again.,Eroare la salvarea detaliilor producătorului în baza de date. Încercaţi din nou.
Error preparing environment.,Eroare la pregătirea mediului.
Please provide credentials,"Vă rugăm, oferiţi credenţiale"
Error preparing API environment.,Eroare la pregătirea mediului API.
Api key not found in database.,Cheia API nu a fost găsită în baza de date.
Invalid content type.,Tip conţinut invalid.
Couldn't load background jobs model.,Nu am putut încărca meniul de editare produs.
Couldn't save database details. Please try again.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
Error obtaining plugin details for plugin %s.,Eroare la obţinerea detaliilor de plugin pentru %s.
Invalid scope parameters.,Parametrii de scope invalizi.
Error rendering page template.,Eroare la randarea paginii template-ului.
Invalid template file.,Fişier de template invalid.
Invalid theme.,Temă invalidă.
Error validating sub-view template.,Eroare la validarea template-ului de sub-view.
Error rendering sub-view template.,Eroare la randarea template-ului de sub-view.
Invalid scope.,Scope invalid.
Action not allowed to run in current scope.,Acțiunea nu este permisă în scope-ul curent.
Error while parsing data from outside source.,Eroare la prelucrarea datelor din sursa externă.
You don't have rights to access this section.,Nu aveți destule drepturi pentru accesarea acestei secțiuni.
Couldn't load action [%s].,Nu am putut încărca acţiunea [%s].
Couldn't load foobar action.,Nu am putut încărca acţiunea foobar.
Error creating dump credentials file.,Eroare la crearea fişierului de credenţiale pentru export.
Unknown parameters.,Parametrii necunoscuţi.
Unknown source.,Sursă necunoscută.
Unknown destination.,Destinaţie necunoscută.
Error downloading file.,Eroare la descărcarea fişierului.
Unknown copy method.,Metodă de copiere necunoscută.
Error saving plugin details to database.,Eroare la salvarea detaliilor de plugin în baza de date.
Error saving model details to database.,Eroare la salvarea detaliilor de model în baza de date.
